S³owoPodstawe;Synonim1;Synonim2;Synonim3;Synonim4;Synonim5;Synonim6;Synonim7;Synonim8;Synonim9;Synonim10;Synonim11;Synonim12;Synonim13;Synonim14;Synonim15;Synonim16;Synonim17;Synonim18
agregat;ca³okszta³t;ca³oœæ;kompleks;zespó³;;;;;;;;;;;;;;
agregowaæ;dobieraæ;³¹czyæ;sumowaæ;zestawiaæ;;;;;;;;;;;;;;
agresja;atak;najœcie;napad;napaœæ;natarcie;nawa³a;ofensywa;uderzenie;;;;;;;;;;
agresja;inwazja;najazd;napad;napaœæ;;;;;;;;;;;;;;
agresor;atakuj¹cy;napastnik;;;;;;;;;;;;;;;;
agrest chiñski;kiwi;;;;;;;;;;;;;;;;;
agrest pospolity;porzeczka agrest;;;;;;;;;;;;;;;;;
agresywnoœæ;bojowoœæ;zaczepnoœæ;;;;;;;;;;;;;;;;
agresywny;awanturniczy;buñczuczny;czupurny;³obuzerski;napastliwy;szukaj¹cy zwady;wojowniczy;zaczepny;zadzierzysty;zadziorny;zawadiacki;zuchwa³y;;;;;;
agresywny;dziki;straszny;;;;;;;;;;;;;;;;
agresywny;nieprzyjemny;nieznoœny;obraŸliwy;obra¿aj¹cy;przykry;;;;;;;;;;;;;
aha;uhm;;;;;;;;;;;;;;;;;
a;i;natomiast;oraz;tudzie¿;zaœ;;;;;;;;;;;;;
a jak¿e;ajuœci;ale¿ tak;ba;i owszem;ju¿ci;naturalnie;tak w³aœnie;;;;;;;;;;;
a jak¿e;jeszcze czego;;;;;;;;;;;;;;;;;
ajencja;dzier¿awa;najem;posesja;wynajem;;;;;;;;;;;;;;
ajer;kalmus;sitowie;szuwar;tatarak;tatarak zwyczajny;;;;;;;;;;;;;
AK47;ka³ach;ka³asz;ka³asznikow;;;;;;;;;;;;;;;
akademicki;naukowy;teoretyczny;;;;;;;;;;;;;;;;
akademicki;uczelniany;uniwersytecki;;;;;;;;;;;;;;;;
akademiczka;s³uchaczka wy¿szej uczelni;studentka;;;;;;;;;;;;;;;;
akademik;cz³onek akademii;;;;;;;;;;;;;;;;;
akademik;dom akademicki;dom studencki;;;;;;;;;;;;;;;;
akademik;scholar;studenciak;student;¿ak;;;;;;;;;;;;;;
akant;ornament roœlinny;;;;;;;;;;;;;;;;;
akapit;paragraf;ustêp;wciêcie;;;;;;;;;;;;;;;
akceleracja;przyspieszenie;;;;;;;;;;;;;;;;;
akcelerometr;przyspieszeniomierz;;;;;;;;;;;;;;;;;
akcent;emfaza;nacisk;podkreœlenie;;;;;;;;;;;;;;;
akcentowaæ;eksponowaæ;k³aœæ nacisk;uwypuklaæ;;;;;;;;;;;;;;;
akcentowaæ;k³aœæ nacisk;podkreœlaæ;uwidoczniaæ;uwydatniaæ;zaznaczaæ;zwracaæ uwagê;;;;;;;;;;;;
akcentowaæ;manifestowaæ;pokazywaæ;;;;;;;;;;;;;;;;
akcent;przycisk;;;;;;;;;;;;;;;;;
akceptacja;formalna zgoda;konsens;oficjalna zgoda;zezwolenie;;;;;;;;;;;;;;
akceptacja;poszanowanie innych;szacunek dla innoœci;tolerancja;;;;;;;;;;;;;;;
akceptowaæ;aprobowaæ;byæ tego samego zdania;pozwalaæ;przyklaskiwaæ;udzielaæ zgody;wyra¿aæ zgodê;zgadzaæ siê;;;;;;;;;;;
akceptowaæ;aprobowaæ;dowieœæ;konfirmowaæ;pochwalaæ;potwierdzaæ;ratyfikowaæ;twierdziæ;upewniaæ;usankcjonowaæ;wykazaæ;zarêczaæ;zatwierdzaæ;;;;;;
akceptowaæ;aprobowaæ;pochwalaæ;przyjmowaæ;przyklaskiwaæ;uznawaæ za dobre;;;;;;;;;;;;;
akceptowaæ;cierpieæ;przymykaæ oko;tolerowaæ;wytrzymywaæ;znosiæ;;;;;;;;;;;;;
akceptowalny;do pomyœlenia;do przyjêcia;do zniesienia;dopuszczalny;doœæ dobry;mo¿e byæ;mo¿ebny;mo¿liwy;ujdzie;wzglêdny;znoœny;;;;;;;
akceptuj¹cy;aprobuj¹cy;zatwierdzaj¹cy;;;;;;;;;;;;;;;;
akces;akcesja;przyst¹pienie;;;;;;;;;;;;;;;;
akcesoria;dodatki;osprzêt;;;;;;;;;;;;;;;;
akcesoria;ekwipunek;oprzyrz¹dowanie;rynsztunek;sprzêt;utensylia;wyposa¿enie;;;;;;;;;;;;
akcesoria;przybory;przyrz¹dy;;;;;;;;;;;;;;;;
akcesorium;dodatek;;;;;;;;;;;;;;;;;
akcesoryjny;dodatkowy;dop³ywowy;poboczny;pomocniczy;pomocny;posi³kowy;subsydialny;subsydiarny;uzupe³niaj¹cy;wspieraj¹cy;wspomagaj¹cy;;;;;;;
akcja;czyn;dzia³anie;impreza;postêpowanie;przedsiêwziêcie;ruch;;;;;;;;;;;;
